order_id,date,region,salesperson,product,category,quantity,unit_price,total_amount,customer_type
SO-1001,2026-06-01,华东,张敏,智能台灯,家居电器,12,129,1548,企业客户
SO-1002,2026-06-01,华南,李晨,便携榨汁机,厨房电器,8,199,1592,个人客户
SO-1003,2026-06-02,华北,王磊,人体工学椅,办公家具,3,899,2697,企业客户
SO-1004,2026-06-02,华东,张敏,无线键盘,办公数码,20,169,3380,企业客户
SO-1005,2026-06-03,西南,赵雪,空气炸锅,厨房电器,5,399,1995,个人客户
SO-1006,2026-06-03,华南,李晨,智能台灯,家居电器,15,129,1935,个人客户
SO-1007,2026-06-04,华北,王磊,无线键盘,办公数码,16,169,2704,企业客户
SO-1008,2026-06-04,华东,陈杰,空气炸锅,厨房电器,9,399,3591,个人客户
SO-1009,2026-06-05,西南,赵雪,人体工学椅,办公家具,4,899,3596,企业客户
SO-1010,2026-06-05,华南,李晨,智能台灯,家居电器,18,129,2322,个人客户
SO-1011,2026-06-06,华东,张敏,便携榨汁机,厨房电器,14,199,2786,个人客户
SO-1012,2026-06-06,华北,王磊,无线键盘,办公数码,22,169,3718,企业客户
SO-1013,2026-06-07,西南,赵雪,智能台灯,家居电器,10,129,1290,个人客户
SO-1014,2026-06-07,华东,陈杰,人体工学椅,办公家具,6,899,5394,企业客户
SO-1015,2026-06-08,华南,李晨,空气炸锅,厨房电器,7,399,2793,个人客户
